CÓDIGO OACI,TIPO,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,RAMPA(S) DE APROXIMAÇÃO,FORMATO DA ÁREA DE POUSO,DIMENSÕES,RESISTÊNCIA,SUPERFÍCIE,p1,p2,p3,p4,PORTARIAS,,,,Portaria Nº 291/2016 ,Portaria Nº 2007/2014 e alterações ,OBSERVAÇÃO
SBFI,AERÓDROMO,CATARATAS,FOZ DO IGUAÇU,PR,25° 36' 1'' S,54° 29' 6'' W,239 m,VFR Diurno/Noturno e IFR Diurno/Noturno,14/32,2195 m,45 m,PCN 51/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-1182,0,0,0,PA2014-1182,,,,AP-2,2ª,-
SBFL,AERÓDROMO,HERCÍLIO LUZ,FLORIANÓPOLIS,SC,27° 40' 13'' S,48° 33' 9'' W,5 m,VFR Diurno/Noturno e IFR Diurno/Noturno,14/32,2300 m,45 m,PCN 48/F/B/X/T,Asfalto,3/21,1500 m,45 m,PCN 26/R/B/X/T,Concreto,-,-,-,-,-,-,-,-,-,-,PD1982-0116,0,0,0,PD1982-0116,,,,AP-2,1ª,-
SBFN,AERÓDROMO,FERNANDO DE NORONHA,FERNANDO DE NORONHA,PE,3° 51' 17'' S,32° 25' 42'' W,58 m,VFR Diurno/Noturno e IFR Diurno/Noturno,12/30,1845 m,45 m,PCN 22/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1993-0516,0,0,0,PD1993-0516,,,,AP-1,2ª,-
SBFZ,AERÓDROMO,PINTO MARTINS,FORTALEZA,CE,3° 46' 33'' S,38° 31' 56'' W,25 m,VFR Diurno/Noturno e IFR Diurno/Noturno,13/31,2545 m,45 m,PCN 66/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-1572,0,0,0,PD2001-1572,,,,AP-3,1ª,-
SBGL,AERÓDROMO,AEROPORTO INTERNACIONAL DO RIO DE JANEIRO/GALEÃO – ANTONIO CARLOS JOBIM,RIO DE JANEIRO,RJ,22° 48' 36'' S,43° 15' 2'' W,9 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,4000 m,45 m,PCN 78/R/A/W/T,Concreto,15/33,3180 m,47 m,PCN 73/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,PA2012-1398,PA2012-1572,0,0,PA2012-1398,PA2012-1572,,,AP-3,-,-
SBGM,AERÓDROMO,GUAJARÁ-MIRIM,GUAJARÁ-MIRIM,RO,10° 47' 18'' S,65° 16' 54'' W,146 m,VFR Diurno/Noturno e IFR Diurno/Noturno,17/35,1795 m,45 m,PCN 30/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1980-0123,0,0,0,PD1980-0123,,,,AD,-,-
SBGO,AERÓDROMO,SANTA GENOVEVA/GOIÂNIA,GOIÂNIA,GO,16° 37' 47'' S,49° 13' 36'' W,747 m,VFR Diurno/Noturno e IFR Diurno/Noturno,14/32,2500 m,45 m,PCN 34/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2009-1566,0,0,0,PA2009-1566,,,,AP-2,2ª,-
SBGR,AERÓDROMO,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO,GUARULHOS,SP,23° 26' 8'' S,46° 28' 23'' W,750 m,VFR Diurno/Noturno e IFR Diurno/Noturno,9L/27R,3700 m,45 m,PCN 85/F/B/W/T,Asfalto,9R/27L,3000 m,45 m,PCN 85/F/B/W/T,Asfalto,-,-,-,-,-,-,-,-,-,-,PD1984-0271,PD1989-0019,PD1991-0436,0,PD1984-0271,PD1989-0019,PD1991-0436,,AP-3,-,-
SBGU,AERÓDROMO,TANCREDO THOMAS DE FARIA,GUARAPUAVA,PR,25° 23' 17'' S,51° 31' 18'' W,1065 m,VFR Diurno/Noturno e IFR Diurno/Noturno,8/26,1620 m,30 m,PCN 23/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2002-1677,0,0,0,PD2002-1677,,,,AP-0,4ª,-
SBGV,AERÓDROMO,CORONEL ALTINO MACHADO,GOVERNADOR VALADARES,MG,18° 53' 49'' S,41° 59' 10'' W,171 m,VFR Diurno/Noturno,7/25,1400 m,30 m,PCN 33/F/B/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-0908,0,0,0,PA2015-0908,,,,AP-1,3ª,-
SBGW,AERÓDROMO,GUARATINGUETÁ,GUARATINGUETÁ,SP,22° 47' 30'' S,45° 12' 16'' W,537 m,VFR Diurno/Noturno e IFR Diurno/Noturno,2/20,1551 m,30 m,PCN 15/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1970-0017,0,0,0,PD1970-0017,,,,AD,-,-
SBHT,AERÓDROMO,ALTAMIRA,ALTAMIRA,PA,3° 15' 3'' S,52° 15' 8'' W,112 m,VFR Diurno/Noturno e IFR Diurno/Noturno,7/25,2003 m,30 m,PCN 36/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1983-0215,PA2013-3248,0,0,PD1983-0215,PA2013-3248,,,AP-1,2ª,-
SBIC,AERÓDROMO,ITACOATIARA,ITACOATIARA,AM,3° 7' 35'' S,58° 28' 54'' W,43 m,VFR Diurno e IFR Diurno,14/32,1515 m,30 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1988-0214,0,0,0,PD1988-0214,,,,AD,-,-
SBIH,AERÓDROMO,ITAITUBA,ITAITUBA,PA,4° 14' 32'' S,56° 0' 3'' W,33 m,VFR Diurno/Noturno e IFR Diurno/Noturno,5/23,1605 m,30 m,PCN 26/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1993-0125,0,0,0,PD1993-0125,,,,AP-1,3ª,-
SBIL,AERÓDROMO,BAHIA - JORGE AMADO,ILHÉUS,BA,14° 48' 54'' S,39° 2' 0'' W,4 m,VFR Diurno/Noturno e IFR Diurno/Noturno,11/29,1577 m,45 m,PCN 35/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1977-0001,0,0,0,PD1977-0001,,,,AP-1,2ª,-
SBIP,AERÓDROMO,USIMINAS,SANTANA DO PARAÍSO,MG,19° 28' 14'' S,42° 29' 17'' W,239 m,VFR Diurno e IFR Diurno/Noturno,5/23,2005 m,45 m,PCN 33/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-1629,0,0,0,PD2001-1629,,,,AP-1,3ª,-
SBIZ,AERÓDROMO,PREFEITO RENATO MOREIRA,IMPERATRIZ,MA,5° 31' 50'' S,47° 27' 30'' W,131 m,VFR Diurno/Noturno e IFR Diurno/Noturno,7/25,1798 m,45 m,PCN 50/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2005-0376,0,0,0,PD2005-0376,,,,AP-1,2ª,-
SBJC,AERÓDROMO,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,BELÉM,PA,1° 24' 54'' S,48° 27' 32'' W,16 m,VFR Diurno,16/34,1106 m,30 m,PCN 34/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2011-0161,0,0,0,PA2011-0161,,,,AP-0,3ª,-
SBJD,AERÓDROMO,AEROPORTO ESTADUAL DE JUNDIAÍ,JUNDIAÍ,SP,23° 10' 54'' S,46° 56' 37'' W,757 m,VFR Diurno/Noturno,18/36,1400 m,30 m,PCN 21/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2013-2110,0,0,0,PA2013-2110,,,,AP-0,3ª,-
SBJF,AERÓDROMO,FRANCISCO DE ASSIS,JUIZ DE FORA,MG,21° 47' 35'' S,43° 23' 8'' W,911 m,VFR Diurno/Noturno e IFR Diurno/Noturno,2/20,1535 m,30 m,PCN 8/F/A/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1980-0156,PD1995-0545,0,0,PD1980-0156,PD1995-0545,,,AP-0,3ª,-
SBJI,AERÓDROMO,JI-PARANÁ,JI-PARANÁ,RO,10° 52' 14'' S,61° 50' 48'' W,182 m,VFR Diurno/Noturno,2/20,1800 m,45 m,PCN 30/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2006-0234,PA2013-1452,0,0,PA2006-0234,PA2013-1452,,,AP-1,3ª,-
